"en_IND_tindia_int" "2017-07-30 13:07:22" "UK TV to air Princess Diana's recordings on failed marriage" "<a href=""http://timesofindia.indiatimes.com/world/uk/uk-television-to-air-princess-dianas-recordings-on-failed-marriage/articleshow/59832509.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59832509.cms"" /></a>A British television channel is broadcasting a new documentary on Princess Diana using video tapes in which she candidly discussed her marital problems and her strained relationship with the royal family."
"en_IND_tindia_int" "2017-07-30 11:18:04" "'Arab states hoped to impose more sanctions on Qatar'" "<a href=""http://timesofindia.indiatimes.com/world/middle-east/arab-states-expected-to-impose-more-sanctions-on-qatar-media-reports/articleshow/59831633.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59831633.cms"" /></a>Saudi Arabia, Egypt, the United Arab Emirates (UAE) and Bahrain are expected to discuss imposing new economic sanctions on Qatar when they meet in the Bahraini capital Manama on Sunday, the pan-Arab al-Hayat newspaper reported."
"en_IND_tindia_int" "2017-07-30 16:05:54" "Saudi Arabia says calls for internationalization of holy sites 'a declaration of war'" "<a href=""http://timesofindia.indiatimes.com/world/middle-east/saudi-arabia-says-calls-for-internationalization-of-holy-sites-a-declaration-of-war/articleshow/59834018.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59834018.cms"" /></a>Saudi Arabia's foreign minister called Qatar's demands for an internationalization of the Muslim hajj pilgrimage a declaration of war against the kingdom, Saudi-owned Al Arabiya television said on Sunday, although it was unclear whether Qatar had actually made any such demand."
"en_IND_tindia_int" "2017-07-30 08:49:21" "Very disappointed with China on N Korea: Trump" "<a href=""http://timesofindia.indiatimes.com/world/us/very-disappointed-with-china-on-north-korea-says-donald-trump/articleshow/59830543.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59830543.cms"" /></a>""I am very disappointed in China. Our foolish past leaders have allowed them to make hundreds of billions of dollars a year in trade, yet they do NOTHING for us with North Korea, just talk,"" Trump said in two tweets yesterday."
"en_IND_tindia_int" "2017-07-30 08:52:50" "Pakistan to elect new PM on Tuesday" "<a href=""http://timesofindia.indiatimes.com/world/pakistan/pakistan-to-elect-new-prime-minister-on-tuesday/articleshow/59830594.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59830594.cms"" /></a>The Supreme Court on Friday disqualified 67-year-old Sharif for dishonesty and ruled that corruption cases be filed against him and his children over the Panama Papers scandal, forcing the embattled leader out of office."
"en_IND_tindia_int" "2017-07-30 05:44:48" "Typhoon injures 81 in Taiwan" "<a href=""http://timesofindia.indiatimes.com/world/rest-of-world/typhoon-injures-81-in-taiwan-as-another-storm-approaches/articleshow/59829090.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59829090.cms"" /></a>Taiwan's first typhoon of the year left 81 people injured and coastal towns flooded as the island braced for a second tropical storm on Sunday. Howling winds toppled motor scooters and hit people with flying glass, the Central Emergency Operations Center said. I"
"en_IND_tindia_int" "2017-07-30 04:55:48" "Xi inspects troops on military's 90th anniversary" "<a href=""http://timesofindia.indiatimes.com/world/china/chinese-president-inspects-troops-on-militarys-90th-anniversary/articleshow/59828800.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59828800.cms"" /></a>It was the first time China has marked Army Day, which formally falls on Aug. 1, with a military parade since the Communist revolution in 1949, state news agency Xinhua said. It was also the first time Xi has reviewed troops in the field like this, Xinhua added."
"en_IND_tindia_int" "2017-07-29 18:13:46" "Hamburg stabbing suspect known as radical" "<a href=""http://timesofindia.indiatimes.com/world/europe/hamburg-stabbing-suspect-known-as-radical-mentally-unstable/articleshow/59824836.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59824836.cms"" /></a>A Palestinian man who allegedly stabbed one person to death and wounded six others in Hamburg was known to authorities as a suspected Islamic radical but is also psychologically unstable, German officials said on Saturday."
"en_IND_tindia_int" "2017-07-29 13:10:18" "Iran says US Navy fired warning shots near its vessels" "<a href=""http://timesofindia.indiatimes.com/world/us/us-navy-fired-warning-shots-near-its-vessels-says-iran/articleshow/59822201.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59822201.cms"" /></a>Iran's elite Revolutionary Guard said on Saturday a US Navy aircraft carrier fired a warning shot in an ""unprofessional"" confrontation with Iranian vessels, the official IRNA news agency reported."
"en_IND_tindia_int" "2017-07-29 14:17:14" "Nawaz Sharif's disqualification will not affect CPEC: China" "<a href=""http://timesofindia.indiatimes.com/world/china/nawaz-sharifs-disqualification-will-not-affect-cpec-china/articleshow/59823009.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59823009.cms"" /></a>China has said that Nawaz Sharif's disqualification from Pakistan's premiership will not affect its $50 billion China-Pakistan Economic Corridor project, amid reports that some of Beijing's big ticket investments in the country may come under a widening corruption probe."
